"V1","V2"
"Graça Dantas","Quero saber como receber os 20<U+FFFD>ue os acompanhantes de idosos têm direito.eu preciso .o meu esposo está na perícia desde outubro de 2016  então eu cuidava de idoso na zona norte em Natal RN e desde outubro eu me afastei pra acompanhar elee estou precisando receber esta porcentagem.como fazer o cad ..."
"Jozy Fernandes","Pasei na perícia médica dia 24 /10 disseram que era 20 dias pra minha carta chegar até hj nada.entro no site não consigo .Ligo no 135 nada tbm.o que fazer???"
"Sidney Gomes Torres","Recebo pensão por morte e fica perguntando qual foi a minha última contribuição para o INSS...gente eu não contribuí...é pensão"
"Regina Martines","Por q tem q instalar o Mozilla??? E não abre nos outros navegadores????"
"Kelly Flauzino","Ta dificil em consulta as coisas no inss telefone nao funciona o saite nem se fala arruma isso pelo amor de deus aff"
"Edineide Silva","Como poso saber a data do meu próximo pagamento pois fui sacar o dinheiro e só saio a mentade"
"Weiler Magalhaes","Para obter a senha são efetuadas 5 perguntas que contem erros na formulação. Datas que não procedem. Se a pergunta não tem resposta deveria inserir uma nova pergunta. Fui bloqueado por não saber responder uma pergunta com erro na data de ocorrência. E não tem onde reclamar. Preciso do contracheque h ..."
"Fabio Gonçalves","Eu tenho uma conhecida que recebe aposentadoria sem está ""doente"".Está a uns 15 anos sem trabalhar sendo servidora da prefeitura na saúde.Ela teve uma crise de pressão alta ela fez vários na qual deram todos normais e o médico disse que foi um erro a aposentadoria dela.Ela constantemente chegav ..."
"Mauro Costa Assis","Mais de 40 milhões de trabalhadores sem renda fixa e carteira assinada vivem de ""bicos<e2><U+0080>? tais como os camelôs nos grandes centros urbanos.Dados do Ipea - Instituto de Pesquisas Aplicadas de 2016 apontam que 45% da força de trabalho ativa estimada em 90 milhões de pessoas estão na informalidade. ..."
"Lidia Renor","Não estou conseguindo acessar o E-RECURSO com minha cad senha diz usuário inválido. Quando coloco meu cpf e senha aparecem toda relação de  processos na qual sou procuradora mas não me permite mais abrir as informações. Já troquei a senha e nada. A pergunta é mais uma vez a data prev está com pro ..."
"Diego Sedícias","Por isso que não consigo mais acessar o Portal..."
"Thereza Lupion","Eu tenho alguma margem de emprestimo"
"Nena Sá","Eu recebia Auxilio Doença quando o beneficio foi negado na ultima pericia a empresa me demitiu. De repente eu estava recebendo alta o medico que diz você esta bem vá trabalhar! A empresa do outro lado diz aqui não vá embora. Eu ando de empresa a empresa de sol a sol procurando emprego deixan ..."
"Lucia Mendes","Não consigo fazer denúncia porque"
"Bruno Santana","oi ai"
"Luis Antonio De Aguiar Aguiar","Está de cara nova?.A cara dos aposentados está cada vez mais enrugada de tanta preocupação o que comer o que vestir como comprar remédios como cuidar da saúde no SUS é risco de vida não temos S<c3>?RIO LIBANÊS nem ALBERT EINSTEIN o que fazer não temos opção ficar esperando a morte chegar pois d ..."
"Previdência Social","Esse e outros serviços estão disponíveis no link: https://goo.gl/XhhakM"
"Tonycabraltony Cabral Tony","Nao consigo fazer meu cadrasteo no site.para ter acesso aos.neus emprestimo consignado.e dificil compricado"
"Patricia Fontoura","Pena que nao funciona... ultimamente o tal ""meu INSS"" nao acessa NADA. Recomendo que o pessoal da informática veja o que está ocorrendo pois o serviço digital está péssimo. Ninguem consegue acessar."
"Juliana A. Tiburcio","Previdência Social                     Senhores bom dia !Necessito de uma informação para dirimir uma dúvida. Ocorre que por encontrar-me atualmente desempregada e meus demais familiares serem menores e atualmente morarmos em uma propriedade rural sem energia elétrica a única renda atual de n ..."
"Luiz Cebola","ATENÇÃO: ao colocar o termo na busca do Google a primeira coisa que aparece é um site de fishing que pede para você entrar com seu CPF e a partir dai baixa um arquivo .EXE. Felizmente estava usando o Mac e esse tipo de arquivo nem abre."
"Thamyres Souza","Não tô entendendo eu não tava conseguindo fazer o acesso no site fui no INSS a moça quer mim atendeu fez o cadastro pra mim com os meus documentos ir deu certo mas agora quer eu tô tentando fazer o acesso não tá dando certo o quer faço já tentei até com os documentos dá minha filha"
"Junior Nel Junior","Fiz o LOGINe só consegui entrar 2 vezesficou uma porcariao antigo era tão simples.e até nisso o governo complica nossas vidas."
"Noely Terezinha Silva","Sabia sim mas nunca consigo é uma  burocracia doida ...da uma raiva ..ai vc está com pressa tem de se deslocar até o INSS só pra conseguir um extrato ..."
"Marco Bueno","estamos ferrados mexeram no site meu beneficio e as senhas não funciona mais...... que analista hem!!!!!"
"Andrews Vaz","Vamos dar uma amenizada nas filas virtuais (agendamentos de meses no fone 135).#NomeiaTodosOsAprovadosExcedentesConcurso2016"
"Maria Ines de Souza","Horrível a maioria das pessoas não conseguem acessar como estava antes era bem melhor."
"Joselito Correia Deoliveira","bom-dia eu tenho mais de  quinze  tentando fazer um cadastro de uma senha mas nada isto e falta de respeito a pessoa leva mais de quarenta minutos. e sair do porque tudo que  para benificia a população e ruim parece que voçês nâo querem que nos posso saber nossos direito. tenha dó"
"Everton Rosa","Olá entrei com pedido de acréscimo de 25% já sou aposentado por invalidez e fiz a perícia e fui negado dei entrada dia 18/09/2017 agendei o recurso e revisão pro dia 05/06/2018 caso for aceito receberei o retroativo?"
"Vera Unfer","Boa tarde tambem não consegui acessar gostaria de obter meu extrato e não consigo!!! o que fazer?"
"Irene Vieira","E quando vão liberar o extrato sem esta chatisse de colocar senha e leva uma eternidade pra acessar"
"Luiz Carlos Borborema","Não consigo acessar o extrato de pagamento a muito tempo. É possível informar o motivojá que anteseu acessava e imprimia com facilidade?"
"Marquinhos Tavares","Deveria permite o representante legal fazer emprestimo pena que essa legislação n deixa"
"Sueli Mlchaves","Após óbito quem paga o consignado!"
"Andreia L. Ribeiro","Eu não consegui meu INSS"
"Henrique Nhc","DESDE SETEMBRO NÃO CONSIGO TIRAR UM EXTRATO DAS MINHAS CONTRIBUIÇÕES....O SITE À TODO MOMENTO DIZ ESTAR COM PROBLEMAS...PÉSSIMO SERVIÇO COMO TUDO QUE É PÚBLICO NESTE PA<c3>?S....."
"Absair Vieira Junior","O meu inss foi atualizado e tinha que ter uma post para ter acesso. É uma informação tão simples que está explícita lá no site mas como muitos não fazem acesso ao site não sabem... No site tem a seguinte mensagem: ""Caso a nova versão da central de serviços do INSS não apareça no computador do usuá ..."
"Julio Cesar","Vc sabia que o temer ta ajudando os ricos e ta acabando com a vida do pobre e as coisas cade veis subindo mais olha o gas todos os meis subindo pouca vergonha desse homem acabando com tudo fora temer"
"Marlene Pizzio","Não sabia ..como proceder? Já que não tenho computador! (?) mas o histórico do consignado já trás as informações necessárias !!"
"José Walter","Ninguém consegue acessar o extrato pela internet. Fica dando erro direto."
"Nilson Pimentel","Alias deve ser tirado pelo meuinss."
"Joao Francisco Soares","'SABIA"
"Previdência Social","'Previdência Social shared Receita Federal''s post.'"
"Maria Bisneta","Previdência Social urgente!!! o que houve com o dinheiro de nov.17 aux doença que sumiiu dos lançamento futuros do bradesco????? denuncia... por favor respondam... nao consigo ligar pra 135"
"Adriana Carla","eu preciso enviar um mensagem para a Previdencia sobre aposentadoria. Qual endereço eletronico?"
"Dinair Portela","E o empresarial? Trabalhei em uma faculdade e eles descontam INSS e não repassam pra seguridade e ainda ficaram com meu dinheiro."
"Valeria Oliveira","Quem está recebendo seguro desemprego pode contribuir para o inss sem perder o seguro desemprego? Em caso afirmativo qual o codigo de recolhimento para ter direito a aposentadoria por tempo de contribuição? É necessário ir até alguma agencia do inss para emitir a guia de recolhimento e qual a dat ..."
"Marlene Pizzio","Bem em tempo! Deveriam fiscalizar tudo. Principalmente as grandes empresas e os bancos tbm ."
"Ramon Vago","Acho que deveriam começar a fiscalizar os falsos microempreendedores individuais que recolhem apenas 5% de inss e vão se aposentar. Os profissionais autônomos que não recolhem inss pelo menos não vão receber aposentadorias indevidamente. Ou seja: o problema é de cada um."
"Aurelino Gomes","Existem casos bilionários divulgados pela mídia. Corram atrás deles ora bolas!"
"Filipe Santos","So querem olhar pra voce e as empresas que deve o valor maiorque supera 3 vez o decift. Ninguem diz nada"
"Joao Francisco Soares","DEVEM  DE CORRER ATRAS  DOS  MARAJ<c3>?S  EM  BRASILIA  DEPUTADOS SENADORES  MINISTROS.."
"Du Carmo Pinho","Fiscalizem e cobrem também dos bancos e todas as empresas milionárias que estão com dívidas junto ao INSS."
"Luis Antonio De Aguiar Aguiar","Bilhões mais Bilhões de Bancos Clubes de Futebol Estatais por que não  acionam?????"
"Marcio Oliveira","E os milhões que os políticos roubam vcs não dá conta né mais do trabalhador vcs querem cada centavo....."
"Marcello De Freitas Magalhães","Esses ditos servidores devem se sentir orgulhosos por fazerem valer a dita lei. E a população mais segura do quanto é protegida. Ou não."
"Andrews Vaz","#NomeiaTodosOsExcedentesINSS Vamos acabar com as filas virtuais (agendamentos demorados no 135)."
"Marco de Brito","Que palhaçada o cara não dá trabalho pro povo e ainda não quer deixar as pessoas se virarem pra sustentar suas familias?"
"Tarcísio Pires","Pena que não pegam os que mais roubam o nosso País... Nossos políticos !"
"Ivan Soares","E A DOS EMPRES<c3>?RIOS???"
"Daniel Gomes","Só os pequenos são penalizados."
"Aurélio Lara Junior","Muito bom agora me falem qdo vão combater a sonegação dos grandes"
"Nilo Oliveira","A RECEITA FEDERAL SÓ EST<c3>? PEGANDO OS CONTRIBUINTES INDIVIDUAIS QUE SÃO VALORES PEQUENOS.... MAS PORQUÊ NÃO COBRA DOS GRANDES EMPRESARIOS E BANQUEIROS.???"
"Maria José Gandra",NA
"Decio Dias Franca Franca","Vao cobrar das grandes empresas ?"
"Sergio Amaral","A malas do Gedel vcs fiscalizaram tbm????"
"Bruno Dias","Pq n vao cobrar dos bancos??<f0><U+009F><U+0098><U+0091><f0><U+009F><U+0098><U+0091>"
"Nilza Cichitosi","Esse site não abre."
"Previdência Social","Poupe seu tempo. Acesse o link: https://goo.gl/LuhFy9"
"Rodrigo Da Silva Goularte","olá Previdência Social fiz um perfil no ""meu inss"" acessei mas depois ele pediu para eu autorizar o ""Cidadão Br"". Fiz isso pois não tinha outra opção mas agora não consigo acessar o ""meu inss"" só pede para eu verificar meus dados e fica dizendo que sempre está logado. Já tentei de tudo. algum ..."
"Heraldo Neto","Bom dia preciso fazer Uma denuncia de recebimento de pensao indevida por falecimento  estou emm curitiba qual o encaminhamneto visto que pelo site nunca fui respondido"
"Macio Enrrique","Boa noite tenho um benefício mas o meu cartão venceu esse mês passado novembro.Posso fazer o pedido em qualquer agencia ou só na minha agencia?"
"Vanessa Pereira","Boa tarde. Gostaria de saber como eu posso solicitar uma relação de tempo de contribuição do carne da minha mãe ela contribuiu por aproximadamente 7 meses quando era autônoma Necessito da folha detalhada com o valor e tempo de contribuição para sua aposentadoria no órgão publico. Ela foi até a post ..."
"Erika Senna","Boa Tarde! Meu Sogro vai fazer 65 anos em 19/12/2017. Posso já agendar junto ao INSS a questão do Benefício Assistencial Para Idoso - LOAS ou devo aguardar dia 19/12/2017? No aguardo e grato."
"Fábio Lopes Cavalcante","Por favorgostaria de saber se o contribuinte individual (1007) deverá recolher obrigatoriamente o décimo terceiro (13/2017).Muito grato!!"
"Maria Paula Souza","Posso recolher meu Inss codigo 1163 em banco no exterior? (Australia). Vou imprimir a guia no site da Receita Federal"
"Ruan Ap Gonçalves Meira","sou deficiente meu pai tentou me aposentar na decada de 90 e não sei como consultar aquele processo e ninguem me ajuda"
"Macio Enrrique","Bom dia tenho um benéfico mas que receber e a minha mae sou de maior posso fazer o cadastro único ?em meu nome"
"Valeria Oliveira","Quem está recebendo seguro desemprego e desempregado pode recolher para o inss com aliquota de 20% trimestralmente para aposentadoria por tempo de contribuição ou só mensal ? qual seria o código de recolhimento se puder recolher trimestralmente ?"
"Karlus Braga","Olá! Por gentileza quais as opções para continuar contribuindo com INSS para quem está desempregado? Obrigado."
"Jorge Luiz Rodrigues Duarte","Há mais de 15 dias não consigo gerar uma guia pra pagamento de débitos prescritos. Os atendentes dizem que o sistema não finaliza os cálculos.Até pra pagar está difícil"
"Carol Rocha","Boa tarde. Não consigo agendar o atendimento para a funcionária que trabalha comigo se aposentar por idade. O site não permite o agendado e o telefone 135 diz que o sistema está fora do ar. Já é a quarta vez que ligo e nunca tem sistema. Qual é a opção? Ela pode ir direto na agência?"
"Rodrigo Barreto","Bom dia gostaria de saber se tnho direito de receber o salário maternidade!pois tenho carteira assinada  já não trabalho a dois anos"
"Marcio J Antunes Antunes","fis meu cadastro no site da previdencia deu tudo certo mais acesso com tranquilidade mais na hora de fazer a consulta do cnis e niti clico em fazer mais ficar uma linha horizontal aparecendo e sumindo toda hora e nao aparece nem o cnis nem o niti  e nao consigo imprimir o cnis ou niti na agencia nâo ..."
"Joselito Correia Deoliveira","boa tarde tenho 65 anos tenho 14 anos em auxilio doença não recebi a tal carta como fica minha situaçao já agende aposentadoria por idade continuo  receber o salario."
"Everton Rosa","o site meu inss está com problemas? pois não consigo acessar."
"Diego Pontes","Vacâncias TSS: 2015 (ano do edital do ultimo concurso) até 11/2017 = 3.718 / Nomeações até agora = 800.Nesse contexto é impossível prestar um atendimento célere e digno à população..."
"Renata Santos da Silva","Preciso saber como faco para fazer minha inscrição..com As informações q me deram no INSS eu n consigo"
"Renata Santos da Silva","Qual o site eu entro para fazer a minha inscrição..preciso contribuir"
"João Maria de Oliveira","Meu nome é João Maria de Oliveira estou com câncer des de 2013 já foi enviado os papéis para a Previdência social onemero do Nit 10729748879"
"Eduardo Kennedy","nao estou conseguindo acessar o extrato da previdencia gostaria de saber se esta com problemas e quando sera resolvido??"
"Jaqueline Leandro","Quero tirar uma dúvida.meu pai se aposentou recentemente .ele prestou serviços para um supermercado há mais de 6 anos.eles são obrigado a pagar a saída dele?pois não querem dar seus direitos. Apenas pagar o seguro."
"Rodrigo Evangelista Santos","PRECIOSA PS."
"Rodrigo Evangelista Santos","EXCELÊNCIA NACIONAL PATRIMÔNIO MUNDIAL."
"Previdência Social","Na dúvida sobre algumas questões práticas envolvendo a reforma trabalhista? O Ministério da Fazenda ajuda você a entender melhor o que mudou.A Lei nº 13.467 regulamentou a condição do trabalhador intermitente que é aquele que exerce funções ou presta serviços esporadicamente inclusive para dife ..."
"Zelia Gomes","Eu zelia   fiquei contente com o que li dando oportunidade para pergunta e vocês responde muito bom assim fica bem tranquiloboa obrigado por nos da esa deixa."
"Marcio J Antunes Antunes","fis meu cadastro no site da previdencia deu tudo certo mais acesso com tranquilidade mais na hora de fazer a consulta do cnis e niti clico em fazer mais ficar uma linha horizontal aparecendo e sumindo toda hora e nao aparece nem o cnis nem o niti  e nao consigo imprimir o cnis ou niti na agencia nâo ..."
"Joselito Correia Deoliveira","boa tarde gostaria de saber qual o prazo para fazer o cadrastro unico"
"Elton Andrade","Eu posso optar por não contribuir para o INSS ?"
"Lorena Volkmann","Eu preciso do resultado da perícia."
"Marcello De Freitas Magalhães","'É a giromba dita reformista feita pela caçamba vinda pela corda da Anta. Quem a elegeu e ao vice senil merece cada dia desse desgoverno assim como seus efeitos eternizados em um pedaço de papel de pão que se chama ''Lei Trabalhista''.'"
"Marlene Pizzio","'Pior que uma Reforma Trabalhista . E'' ter um emprego informal ou ser um #desempregado!  Sem direito a nada.'"
"Maria Paula Souza","Boa tarde ! Posso pagar minha guia do INSS codigo de recolhimento em um banco na Australia? Vou emitir a guia no site da Receita Federal. Vou estar la dia 15/12"
"Creuza Goncalves Goncalves","Uma piada atrás da outra só rindo de todo esse circo armado. Pra pagar o carnê é rápido pra conseguir um benefício é uma via   alto do Gogota pra ser preso em uma cruz."
"Rodrigo Evangelista Santos","PROFUNDOS SUCESSOS."
"Rodrigo Evangelista Santos","PROFUNDOS DESENVOLVIMENTOS."
"Rosilane Santos","Ué? Não falaram que ninguém ia receber menos que o mínimo?"
"Patricia Ferreira","Izilda Pires"
"Jayme Teles Canaan","'https://www.youtube.com/watch?v=qwi5iVpiRnc&amp"
"Previdência Social","A Previdência não liga para os segurados. Caso precise se comunicar com o beneficiário fará isso por meio de carta. Atualize seu endereço: goo.gl/fps3WZ"
"Cidinha Dias","Boa tarde estou precisando entrar em contato com a Previdência Social por acaso há algum Chat ou somente pelo 135?!"
"Ismael Debora Katherine Ester","As pessoas do BPC vai chegar alguma carta pra inclui no Cadastro Único????"
"Antonio Carlos","Não consigo visualizar meu extrato de pagamento..."
"Valquir Gentil","Qual objetivo desta atualização?"
"Prii Gomes","O comercial de vocês fala em reduzir privilégios das pessoas que trabalham pouco ganham muito e se aposentam cedo  acho que estão falando dos políticos então né?! Muito ridículos!!Por que ao invés de reduzir ""privilégios"" do povo vocês não reduzem os salários e as mordomias dos parlamentares? Por ..."
"Cristian Silva","Bom dia  qual o procedimento para transformar o auxilio doença comum em acidentário?  No caso de pessoas que se afastou das atividades devido a doença ocupacional provocada pelo trabalho  mas o perito colocou o auxilio como comum?"
"Dom Amaral","'Boa Noite Fiz contribuições como autônomo no período de 08/1989 ate 05/1992( 02 anos e 10 meses ) no valor de 10% do salario minimo da época"
"Llucienne Battista","Bom dia. Tenho um pedido de pensão por morte para mim e outro para meu filho e menor...foi dada a entrada á 2 meses.Qual o tempo de resposta?"
"Ferron Baiano","Legal estou precisando mesmo atualizar o meu endereço!"
"Valeria Oliveira","É possível fazer alteração de endereço e dar entrada na aposentadoria ao mesmo tempo?"
"Consumer saver tips","Worlds best Home decor tips super fan right here"
"Karlus Braga","Olá! Por gentileza quais as opções para continuar contribuindo com INSS para quem está desempregado? Obrigado."
"Denise Nunes","A pensão da minha sogra foi suspensa porquê ela n fez a atualização cadastral e agora estamos morando em outra cidade oq  fazer pra resolver na cidade em que ela está agora"
"Carlos José Côrtes","Colegas aposentadosrealmente temos que tomar muito cuidadopois espertos é que não falta.<f0><U+009F><U+0098><U+0099><f0><U+009F><U+0098><U+0099>"
"Rodrigo Evangelista Santos","ESTRELA DA MANHÃ."
"Alessandro Santana Santana","Realmente. ...Não ligam para o segurado. ..."
"Nelson Carlos","Atenção muita atenção ..."
"Clecia Nascimento Silva","É isso"
"Julianaah Moura","Não consigo sacar o meu benefício inss"
"Luciana Mendes","Não consigo acessar ."
"Nizan Alves","Carta?"
"Macio Enrrique","E seguro mesmo esse site da autualizaçao de endereço?"
"Nadia Nara Braga Goulart","A Previdência Social não atende pelo 135. O que fazer para obter informações?"
"Arlene Gonçalves","Quero saber se meu pedido de benefício saiu"
"Previdência Social","Comitê Gestor do eSocial detalha a implantação do sistema para as empresas.A primeira etapa de implantação do eSocial para as empresas começa em 8 de janeiro de 2018. Nessa data 13.707 empresas com o faturamento superior a R$ 78 milhões começarão a registrar cadastros e tabelas como parte do proc ..."
"Gusttavo Henrique","Sobre a comprovação de vida quem recebeu o aviso no dia 24 deste mês (novembro) tem até quando para fazer a comprovação?"
"Absair Vieira Junior","Espero que as demais categorias não sejam prejudicadas em relação a solicitação de benefício previdenciario. Infelizmente as empregadas domésticas tiveram muita dor de cabeça pela falta de cruzamento de informações do E-Social para o Cnis... Hoje  não sei como esta situação."
"Diego Pontes","Principalmente tbm não atende de forma rápida e eficiente a população por falta de servidores. Com um auto índice de vacâncias de técnicos e analistas e com grande parte dos servidores já aptos a se aposentarem o INSS corre o risco de entrar em colapso logo em 2018!"
"Neide Esidio","Gostaria de saber quanto vou pagar este ano eu pago $10307 quanto vou pagar"
"Rodrigo Evangelista Santos","ESTRELA DA MANHÃ."
"Rodrigo Evangelista Santos","EXCELÊNCIA NACIONAL."
"Karlus Braga","Olá! Por gentileza quais as opções para continuar contribuindo com INSS para quem está desempregado? Obrigado."
"Vanessa Faria","Salário maternidade concedido como imprimir a carta"
"Jackson Taverna","Vivian Oliveira"
"Previdência Social","Veja requisitos e demais informações no link: https://portal.inss.gov.br/informacoes/categorias-de-segurados/facultativo-de-baixa-renda-dona-de-casa/"
"Eliana Bellecieri","Essa reforma da previdência está se esquecendo ignorando e prejudicando um grande grupo de contribuintes praticamente boa parte de uma geração dos que hoje têm 50/55 anos e que ainda não conseguiram se aposentar pois esse grupo em especial passou por várias e grandes crises de desemprego nos ano ..."
"Liz Elizabeth Rosignoli","Posso fazer mais uma pergunta.? Se ao completar 60 anos eu não tiver os 15 anos pagos. ..por exemplo...se eu tiver 12... posso pagar os 3 que  faltam de uma vez?"
"Liz Elizabeth Rosignoli","Outra duvisa... o tempo que A pessoa passa recebendo auxílio doença..conta na aposentadoria ou não? Grata"
"Míriam Mello","Eu gostaria de saber se alguém que contribui através do código 1473 vier ao óbito seus filhos menores ou seu companheiro têm direito a uma pensão?"
"Marcia Guedes","Boa noite! Meu marido acabou de se aposentar e estão ligando insistentemente para (todos os) nossos celulares e fiixo dizendo que são representantes/corretores bancários e oferecendo empréstimo consignado que não nos interessa afirmando que os dados foram fornecidos pelo INSS. Isso procede? Como  ..."
"Nah Oliveira","Gostaria de tirar uma dúvida.Eu trabalhei durante um anoregistrada e o meu ex patrão não pagava o INSS...E também não depositou o fgtsaonde eu posso recorrer?E também não pagou meus acertos...Alguém pode me tirar essa dúvida..."
"Elder Marco","Então fica a minha sugestão também:Torne a contribuição facultativa para todos. e deixe o trabalhador decidir se ele vai contribuir com a previdência social com uma previdência privada se vai investir o próprio dinheiro por conta ou gastar como ele bem entender já que o dinheiro - e a responsab ..."
"Jéssica Souza","Previdência Social amanhã dia 30/11 É o dia da cessação do meu benefício. Desde 17/11 tento pelo site prorrogação e diz que: Requerimento não permite solicitação de prorrogação. Liguei diversas vezes no 135 eles me disseram que é falha do sistema e que eles não conseguem fazer nada. Uma vez deu um  ..."
"Mairton Cardoso","Por favor peça para o INSS atender com mais celeridade os pedidos do contribuinte.   Faz um ano que aguardo uma decisão desse instituto mas parece que nada funciona.  Já apelei para Ouvidoria e nada.     É vergonhosa a atitude do INSS."
"Andréa Massayo Tokimatsu","Previdência Social  como voces repassam aos bancos os telefones de quem se aposenta?  sem a autorização dos mesmos agora é um inferno  é ligação no fone fixo celular  sms se vcs disserem que não passam então tem funcionário vendendo informação  é bom investigar."
"Elder Alves Ribeiro","aqui em itapecerica mg .........tem uma agenci a do inss  que esta precisando ser investigada ...nada funciona .......e nao consta no  135  nao sos ...."
"Aurélio Lara Junior","Trabalho com carteira assinada e mesmo assim posso pagar no carnê para no futuro aumentar minha renda"
"Fabio Silva","tenho 48 anos de idade e 30 anos de contribuição.Pela regra atual eu complentando 53 anos de idade e 35 de contribuiição teria direito ao beneficio de aposentar por tempo de serviço. PERGUNTO : na nova regra em que o governo quer implantar como eu ficaria nessa regra ??"
"Marco Bueno","É a fila ao anda muito bate papo sem preocupação esse é o posto da voluntários da pátria não se consegue pegar uma senha para cumprir exigência"
"Rosana Gleice","Minha mãe mora em Teresina.  Tem parentes seus  Por motivo de brigas  ja H<c3>? bastante tempo bem ameaçando adoecer minha mãe  dando-lhe comida e não consigo fazer minha mãe entender o que estão fazendo contra ela. Eles  ontem fizeram ela passar mal hoje ja me avisaram que farão  de novo cur ..."
"Marlene Pizzio","'Pois. E'' eu trabalhei com carteira assinada por 19 anos e contribui como facultativa por quase 10 anos 20% sobre dois salários!  E na hora de receber o benefício uma decepção! !!!'"
"Carlos Renir Correia Leandro","Afinal. Vocês só respondem com seletividade.Foram orientados a não responder esse tipo de perguntas. O Segurado Especial(Agricultor) quer saber....."
"Jane Queiroz Dos Santos","Meu marido aposentou..E continuou a trabalhar fichado por mais 9 anos.Ele tem direito de receber de volta a contribuição ."
"Dorinha Santos","Tenho 37 anos e tenho apenas cinco anos de previdência paga ainda posso esperar mais um tempo pra contribuir. ? Sou dona de casa mas não recebo bolsa família. Como faço pra contribuir?"
"Norma Fonseca de Oliveira","Tenho 48 anos de idade.   15 anos de carteira assinada.  E  pago 6 anos de carnê INSS será que me aposento com 60 62 anos de idade"
"Eduardo Kennedy","alguem por favor pode me dizer quanto tempo esta demorando para passar por pericia de prorrogaçao em caçapava sp??"
"Jane Queiroz Dos Santos","Tenho 63 anos.E 9 anos de contribuição quando poderei aposentar?"
"Leonardo Moreira","Seria importante alertar sobre a atualização no CADUNICO!!!!!! Somente assim o período de baixa renda será COMPUTADO!!!!! Se a ideia é passar informação fazer de forma completa!"
"Liz Elizabeth Rosignoli","Boa tarde... por favor uma informação.  Uma pessoa que aposentou por idade mas continuou trabalhando por mais um ano... o que acontece com o inss recolhido neste um ano.? Sera restituído ? Obrigada"
"Sérgio Pilé","Vamos ver se é verdade:Por favor publiquem o quanto de dinheiro foi desviado nos últimos 10 anos!"
"Previdência Social","Receita Federal esclarece interpretação relacionada ao recolhimento de contribuição previdenciáriaFoi publicado no Diário Oficial da União de hoje o Ato Declaratório Interpretativo (ADI) RFB nº 6 de 2017 que tem por objetivo esclarecer qual é a alíquota e a data de vencimento da contribuição p ..."
"Bruno Onix","Boa tarde Quem está vazando dados de pessoas que estão se aposentando?Todo dia recebo ligação e mensagem no celular oferecendo empréstimos de bancos."
"Loana Sotero","Previdência Social Mais uma semana se passou e eu continuo sem poder acessar  o site meu.inss.gov.br    Já reclamei na ouvidoria e não tive retorno. Passei quase o ano todo com problema e vocês não conseguem resolver. A mensagem é a seguinte: O serviço de autenticação de usuário está indisponível no ..."
"Edilton Lima","e porque o valor da contribuicao e superior a r$:187."
"Maria De Fatima Rufino","As financeiras são as que mais oferecem consignado ou redução de juros para aposentados e pensionistas só que a pessoa paga de jurou mais Paula da na idéia essa tau de portabilidade"
"Maria Aparecida Savi Rodrigues","Que saber se quem recebe ausilo por idade e não contribuiu tem direito a décimo terceiro"
"Rodrigo Evangelista Santos","PATRIMÔNIO NACIONAL."
"Antonio Gonçalves","bom"
"Luiz Rafael Teixeira","'MINHA APONSENTADORIA FOI CONCEDIDA EM 22/09/2017 MAS PELA MEMÓRIA DE C<c3>?LCULO DESDE MAIO 2017 CONQUISTEI O DIREITO DE 35 ANOS E 12 DIAS. POIS BEM CONTINUEI TRABALHANDO E CONTRIBUINDO ATÉ HOJE DEZEMBRO 2017 ESSE RENDIMENTO APÓS MAIO NÃO FOI CONSIDERADO PORQUE ATÉ MAIO ERA O SAL<c3>?RIO DE 2"
"Fernanda Mazzarino","Lidiane Bonanome de Morais Ana Paula Crivellari"
"Previdência Social","A Comunicação de Acidente de Trabalho (CAT) é o documento emitido para reconhecer um acidente de trabalho ou de trajeto bem como uma doença ocupacional. Saiba mais goo.gl/9ghbVz"
"Paulinha X Lau Oliveira","Vai fazer dois meses.  Dia 03 que dei entrada. Em um alcilio e ainda não. Saiu o resultado fui na data q deram pra saber do resultado. E quando cheguei. Lá. A moça. Falou q ainda ta em análise. Isso e um absurdo. É. E porq dão. De 30 a 45 dias ne pra saber do reltado ligo pra 135 e falam q ainda est ..."
"Sandrine Antiana","O problema é que fui informado no trabalho que desde o dia  11/11 não tem mais direito de acordo com a nova reforma do temer"
"Cris Mendes","Eu sofri um acidente indo trabalhar!! Tudo certinho como deve ser sempre Nelson horário pelo mesmo caminho com o mesmo veículo!! Informei a empresa mandaram na minha casa o técnico de segurança tiraram foto entreguei a ficha de atendimento do hospital tudo certinho para fazer a cat! Logo depo ..."
"Lhaís De Souza","A data termino do meu afastamento iria até o dia 15/12/17  hoje marquei uma nova perícia para prorrogação dos meus dias  mas a perícia foi marcada pro dia 18/01/17  o que acontece agora continuo recebendo pela previdência mesmo sem ter passado pela segunda perícia de prorrogação?"
"Amanda Reis","Os juizes sao servidores públicos ganham muito e trabalham pouco. Eles vão receber o teto de 5.00000 quando ae aposentsrem?"
"Jonh Connor","E Como Proceder Quando A Empresa Se Nega a Reconhecer O Acidente De Trabalho  Alegando Que Esquizofrenia Não se Encaixa Em ""Acidente de Trabalho "" ? como Faço"
"Sandrine Antiana","Bianca Bianca Carvalhal vc tem direito sim ."
"Sonia Roberta","Não sei pra que isso a pessoa adoece eles vem com um papo que o trabalhador já estava doente e um jogo diszigual os chefes sempre vence <f0><U+009F><U+0098><U+00A1><f0><U+009F><U+0098><U+00A0>"
